coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Sun Nov 01 03:52:22 +0000 2020,SootinClaimon,,http://sootinclaimon.com/2020/11/01/the-coronavirus-keeps-most-london-theaters-dark-while-performers-stock-grocery-shelves-sootinclaimon-com/,0,1322748291646476288,,,,en,,false,0,,,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","The coronavirus keeps most London theaters dark, while performers stock grocery shelves #SootinClaimon.Com https://t.co/QIClzfE6Zw",https://twitter.com/SoilFertilizer/status/1322748291646476288,Mon Oct 12 06:58:23 +0000 2009,SoilFertilizer,false,"Twitter for Agriculture, Environment, Crops, Soils, Fertilizers management; SoClaimon; ศาสตร์เกษตรดินปุ๋ย; ชมรมดินปุ๋ยบนเว็บ; สุทิน คล้ายมนต์; สอ คล้ายมนต์",2,2142,4613,33,"Bangkok, Thailand",sootin claimon,SoilFertilizer,414636,,http://soclaimon.wordpress.com/,false
,Sun Nov 01 03:52:52 +0000 2020,,,,0,1322748414463979520,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",COVID-19 = Plague,https://twitter.com/TheMJ_OfHustlin/status/1322748414463979520,Wed Sep 22 03:00:31 +0000 2010,TheMJ_OfHustlin,false,#𝗠𝗿𝗦𝗵𝗼𝗽𝗪𝗶𝘁𝗵𝗠𝗲♦️𝗶𝗺 𝗼𝗻 𝘁𝘄𝗶𝘁𝘁𝗲𝗿 𝗯𝘂𝘁 𝗶𝗺 𝗻𝗼𝘁 𝗮 𝘁𝘄𝗶𝘁𝘁𝗲𝗿 𝗻𝗶𝗴𝗴𝗮♦️ 𝗣𝗮𝗿𝘁𝗧𝗶𝗺𝗲𝗥𝗮𝗽𝗽𝗲𝗿𝗙𝗨𝗟𝗟𝗧𝗶𝗺𝗲𝗧𝗿𝗮𝗽𝗽𝗲𝗿,15194,2041,877,9,Dunder Mifflin,Dr. ShopWithMe™️ 🍭🆓,TheMJ_OfHustlin,89685,,https://soundcloud.com/fuck12-1,false
,Sun Nov 01 03:52:42 +0000 2020,,,https://twitter.com/wdunlap/status/1322676020542017537,0,1322748372055433216,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Truly truly sad End the lockdowns re-elect Trump🇺🇸the choice is clear! https://t.co/uvz04Yg7A5,https://twitter.com/TCiffo/status/1322748372055433216,Sat Mar 19 12:44:11 +0000 2016,TCiffo,true,,24629,88,239,3,,Trisha L. Ciffo,TCiffo,30268,,,false
,Sun Nov 01 03:52:34 +0000 2020,MurdererInChief,https://twitter.com/LaylaFanucci/status/1322748339872440320/photo/1,,1,1322748339872440320,realDonaldTrump,1322720031508177000,25073877,en,,true,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@realDonaldTrump A group of Stanford University economists estimates that there have been at least 30,000 coronavirus infections and 700 deaths as a result of 18 campaign rallies President Trump held between June and September. #MurdererInChief https://t.co/JBnmASpmJH",https://twitter.com/LaylaFanucci/status/1322748339872440320,Wed Nov 16 12:59:30 +0000 2011,LaylaFanucci,false,Layla Fanucci is an International Artist and author most famous for her unique cityscapes paintings.,30547,385,551,8,"St Helena, California",Layla Fanucci,LaylaFanucci,95534,,http://laylafanucci.com,false
,Sun Nov 01 03:52:26 +0000 2020,COVID19,,,2,1322748305898573825,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",A month or so ago around the 26k COV19 cases level Australia + Austria were very close on both total cases + daily numbers. Australia has just had a zero day with 27k total cases + Austria has 104k total cases and 5k per day. Things can change rapidly with #COVID19,https://twitter.com/ExcelYourself/status/1322748305898573825,Mon Oct 11 14:03:38 +0000 2010,ExcelYourself,false,"Author, Excel Expert, CPA. I write the Excel Yourself articles for the monthly CPA Australia Magazine. Enjoy music by Jackson Browne, Eagles, U2, Mark Knopfler",7045,1010,783,107,Western Australia,Neale Blackwood,ExcelYourself,34576,,http://a4accounting.com.au,false
,Sun Nov 01 03:52:44 +0000 2020,,,https://twitter.com/MOH_Bahrain/status/1322644637757177860,2,1322748383279353857,,,,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",The new cases numbers have been so low the past two weeks. Just wish the daily deaths would stop. https://t.co/amQEzy4aqc,https://twitter.com/AshoorLFC/status/1322748383279353857,Mon Dec 24 21:10:11 +0000 2012,AshoorLFC,false,"Don’t assume you know my thoughts, beliefs or opinions just because of my name and where I come from • Digital Consultant for @LFC & @LFC_Arabic",990,932,272,8,,محمد عاشور,AshoorLFC,14632,,,false
,Sun Nov 01 03:52:31 +0000 2020,,,https://twitter.com/NPR/status/1322157399097180160,0,1322748329403555840,,,,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","How dare Cavuto attempt to defend the Administration's deliberate move to starve the public and multi-state views of this information, starting in July, as NPR references in this article. How dare they! https://t.co/KQM5L8LTBw",https://twitter.com/a_westerly/status/1322748329403555840,Tue May 26 20:43:57 +0000 2020,a_westerly,false,A former everything...biologically available now to follow my dreams and be part of humanity.,50443,1862,3337,2,,Westerly A Donohue...........NO DMs,a_westerly,20379,,,false
,Sun Nov 01 03:53:17 +0000 2020,,,https://www.newsweek.com/biden-got-coronavirus-death-toll-wrong-opinion-1535367,0,1322748520575750146,senatemajtr8tr,1322709912552702000,911634588350345200,en,,false,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@senatemajtr8tr @realDonaldTrump You know as well as I do that those are not useful numbers.
Even if I were to accept those numbers, just b/c someone caught the virus &amp; they attended a rally doesn’t mean they got the virus from the rally.
Both # of cases &amp; # of deaths counted misleadingly
https://t.co/FfwEL08QhX",https://twitter.com/JohnRLottJr/status/1322748520575750146,Thu Mar 29 01:53:09 +0000 2012,JohnRLottJr,false,"Any tweets only my own views. More Guns,Less Crime (Univ Chicago Press, 3rd ed);10 books, 100+academic articles. PhD Econ, Advisor for Research & Science #USDOJ",2560,31013,929,454,,John R Lott Jr.,JohnRLottJr,22712,,http://crimeresearch.org,false
,Sun Nov 01 03:52:41 +0000 2020,COVID19,,https://twitter.com/id_avidson/status/1322567456922259456,0,1322748369010188290,,,,en,,false,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",I'm laughing at the people that are wearing face masks like its going to help them more than the ones who aren't wearing them... in a crowded room with more than 10 PEOPLE 😂😂😂 #COVID19 https://t.co/Qg6w2YLqwX,https://twitter.com/JasmeenD/status/1322748369010188290,Wed Jul 22 17:22:29 +0000 2009,JasmeenD,false,not qualified for @Instagram nor @twitter apparently,14389,522,185,3,,Jasmeen,JasmeenD,42296,,https://linktr.ee/AllMyLinks1,false
,Sun Nov 01 03:52:33 +0000 2020,,,https://www.fox5vegas.com/coronavirus/mgm-resorts-ceo-says-some-of-its-las-vegas-properties-could-see-mid-week-closures/article_43a93400-1ac8-11eb-8123-f7ba7267c055.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share,0,1322748334965227522,,,,en,,false,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",MGM Resorts CEO says some of its Las Vegas properties could see mid-week closures https://t.co/eAbRpOZffo via @fox5vegas,https://twitter.com/iamdanlevey/status/1322748334965227522,Wed Mar 18 16:26:05 +0000 2009,iamdanlevey,false,"Social Media Advocacy, pop culture geek, host of @HashtagsAGoGo on Thursdays at 2pm ET, part of @hashtagroundup. #Denver #Vegas #LA #SanDiego",276393,2516,1976,101,San Diego,Dan Levey,iamdanlevey,71443,,http://www.linkedin.com/in/danlevey,false
